_GameID,_WhiteID,_BlackID,_OpeningCode,Rated,Game Time,Extra Time,Turns,Winner,Victory Status,White Rating,Black Rating,Initial Moves,Opening Moves,Opening Name,Opening Full Name,Opening Response,Opening Variation
1,bourgris,a-00,D10,False,15,2,13,White,Out of Time,1500,1191,d4 d5,5,Slav Defense,Slav Defense: Exchange Variation,"",Exchange Variation
2,a-00,skinnerua,B00,True,5,10,16,Black,Resign,1322,1261,d4 Nc6,4,Nimzowitsch Defense,Nimzowitsch Defense: Kennedy Variation,"",Kennedy Variation
3,ischia,a-00,C20,True,5,10,61,White,Mate,1496,1500,e4 e5,3,"King's Pawn Game","King's Pawn Game: Leonardis Variation","",Leonardis Variation
4,daniamurashov,adivanov2009,D02,True,20,0,61,White,Mate,1439,1454,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Zukertort Variation","",Zukertort Variation
5,nik221107,adivanov2009,C41,True,30,3,95,White,Mate,1523,1469,e4 e5,5,Philidor Defense,Philidor Defense,"",""
6,trelynn17,franklin14532,B27,False,10,0,5,Draw,Draw,1250,1002,e4 c5,4,Sicilian Defense,Sicilian Defense: Mongoose Variation,"",Mongoose Variation
7,capa_jr,daniel_likes_chess,D00,True,10,0,33,White,Resign,1520,1423,d4 d5,10,Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Pietrowsky Defense,"",Pietrowsky Defense
8,daniel_likes_chess,soultego,B00,False,15,30,9,Black,Resign,1413,2108,e4 Nc6,5,Nimzowitsch Defense,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,"",Kennedy Variation
9,ehabfanri,daniel_likes_chess,C50,True,15,0,66,Black,Resign,1439,1392,e4 e5,6,Italian Game,Italian Game: Schilling-Kostic Gambit,"",Schilling-Kostic Gambit
10,daniel_likes_chess,mirco25,B01,True,10,0,119,White,Mate,1381,1209,e4 d5,4,Scandinavian Defense,Scandinavian Defense: Mieses-Kotroc Variation,"",Mieses-Kotroc Variation
11,daniel_likes_chess,anaissac,A00,False,20,60,39,White,Mate,1381,1272,e3 e6,1,"Van't Kruijs Opening","Van't Kruijs Opening","",""
12,daniel_likes_chess,subham777,C02,False,20,60,38,Black,Resign,1381,1867,e4 e6,9,French Defense,French Defense: Advance Variation |  Paulsen Attack,"",Advance Variation
13,daniel_likes_chess,roman12342005,C00,False,5,40,60,Black,Resign,1381,1936,e4 e6,3,French Defense,French Defense: Knight Variation,"",Knight Variation
14,daniel_likes_chess,alkhan,C00,False,8,0,31,Black,Resign,1381,1607,e4 e6,2,French Defense,French Defense #2,"",#2
15,shivangithegenius,sureka_akshat,C50,False,15,15,31,White,Mate,1094,1141,e4 e5,8,Four Knights Game,Four Knights Game: Italian Variation,"",Italian Variation
16,sureka_akshat,shivangithegenius,C57,False,15,15,43,Black,Resign,1141,1094,e4 e5,7,Italian Game,Italian Game: Two Knights Defense |  Knight Attack,"",Two Knights Defense
17,shivangithegenius,sureka_akshat,C50,False,15,15,52,Black,Resign,1094,1141,e4 e5,8,Four Knights Game,Four Knights Game: Italian Variation,"",Italian Variation
18,sureka_akshat,shivangithegenius,C50,False,15,16,66,Black,Mate,1141,1094,e4 e5,8,Four Knights Game,Four Knights Game: Italian Variation,"",Italian Variation
